0,0,0,0,0,20,20,20,20,20
0,0,0,0,0,20,20,20,20,20
0,0,0,0,0,20,21,19,20,20
0,0,0,0,0,20,21,19,20,20
0,0,0,0,1,19,21,19,20,20
0,0,0,0,2,18,21,19,20,20
0,0,0,0,2,18,21,19,20,20
1,3,1,4,1,1,12,22,29,26
1,2,2,2,3,1,23,26,28,12
2,1,2,2,3,2,22,26,28,12
0,7,9,13,16,23,23,2,3,4
3,8,11,15,14,5,6,10,18,10
2,0,1,2,3,4,26,13,19,30
0,4,4,8,7,13,25,2,21,16
0,2,1,10,4,3,28,21,29,2
1,0,1,2,3,2,15,26,31,19
1,0,4,1,11,22,26,3,1,31
1,0,4,1,11,22,26,4,0,31
1,0,4,1,11,22,26,4,0,31
4,6,11,12,6,16,13,19,5,8
3,6,13,10,16,6,4,20,13,9
3,7,12,11,18,20,5,4,12,8
0,3,1,5,17,0,5,13,29,27
1,1,1,3,2,5,13,26,18,30
0,2,1,2,3,4,13,26,18,31
0,2,5,2,8,5,19,29,26,4
0,3,7,10,10,16,25,6,0,23
3,0,9,7,10,17,26,4,0,24
2,3,6,11,18,15,15,4,1,25
1,2,1,6,2,20,8,23,5,32
4,5,6,11,13,15,19,14,6,7
0,4,8,3,12,14,19,18,10,12
1,0,6,7,8,9,22,27,6,14
2,3,11,2,1,21,26,6,12,16
3,2,11,2,1,21,26,6,12,16
0,0,8,7,5,22,10,6,15,27
0,3,5,5,7,22,10,6,27,15
0,0,7,8,5,22,10,6,28,14
0,0,8,7,6,21,11,14,6,27
0,0,8,5,8,21,11,14,6,27
0,0,6,7,9,22,8,28,14,6
0,0,6,7,9,23,7,28,14,6
0,0,6,7,9,8,23,27,14,6
4,3,8,9,14,18,4,9,15,16
0,7,7,11,14,12,7,4,21,17
2,2,1,14,0,19,4,0,32,26
1,2,3,12,2,21,25,0,0,34
1,7,5,14,14,22,11,16,6,4
2,6,5,14,14,22,11,16,4,6
2,5,3,11,15,10,14,6,23,11
3,3,4,11,16,10,15,4,23,11
2,2,9,5,8,11,16,13,25,9
2,5,8,13,13,21,12,8,0,18
2,4,3,10,16,5,15,10,12,23
2,1,5,8,2,5,6,21,20,30
1,4,8,4,12,13,20,14,18,6
1,4,8,4,12,14,19,18,14,6
0,6,12,7,14,3,21,18,12,7
3,8,3,8,12,9,24,1,14,18
3,3,8,8,12,9,24,1,14,18
3,6,9,15,11,14,4,0,25,13
0,6,9,7,1,9,6,23,26,13
0,2,0,4,0,14,18,2,33,27
1,1,10,4,4,17,5,24,29,5
2,3,8,8,18,8,19,10,18,6
1,5,5,13,4,7,23,15,18,9
1,5,5,13,4,7,23,15,18,9
2,1,4,1,0,10,22,2,30,28
1,0,0,7,9,6,23,19,4,31
1,2,5,13,1,19,26,1,1,31
1,4,3,10,19,14,12,20,13,4
1,4,10,11,4,16,10,23,16,5
3,0,10,0,8,4,1,23,34,17
1,2,9,1,5,0,2,22,34,24
1,2,9,3,6,3,3,22,16,35
1,2,9,6,3,3,3,22,16,35
